#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS;;;;;;;;;;;;;;x
### Targeted decisions
emf_prisoner_house_arrest;Put under House Arrest;;;;;;;;;;;;;x
emf_prisoner_house_arrest_desc;As your prisoner, §Y[Root.GetTitledName]§! can be put under house arrest.;;;;;;;;;;;;;x
emf_prisoner_oubliette;Throw into Oubliette;;;;;;;;;;;;;x
emf_prisoner_oubliette_desc;As your prisoner, §Y[Root.GetTitledName]§! can be thrown into the Oubliette.;;;;;;;;;;;;;x
emf_prisoner_dungeon;Move to Dungeon;;;;;;;;;;;;;x
emf_prisoner_dungeon_desc;As your prisoner, §Y[Root.GetTitledName]§! can be moved into a regular dungeon cell.;;;;;;;;;;;;;x
emf_prisoner_castration;Castrate [Root.GetTitledFirstNameNoRegnal];Castrer [Root.GetTitledFirstNameNoRegnal];[Root.GetTitledFirstNameNoRegnal] kastrieren;;Castrado [Root.GetTitledFirstNameNoRegnal];;;;;;;;;x
emf_prisoner_ransom_all_desc;Make a ransom offer to all prisoners.;;;;Hacer una oferta de rescate a todos tus prisioneros.;;;;;;;;;x
emf_prisoner_release;Release All Prisoners;;;;Liberar a todos los prisioneros;;;;;;;;;x
emf_prisoner_release_desc;Release everyone in your dungeons for free.;;;;Libera a todos los prisioneros sin condiciones.;;;;;;;;;x
emf_prisoner_execute;Execute All Prisoners;;;;Ejecutar a todos los prisioneros;;;;;;;;;x
emf_prisoner_execute_desc;Execute everyone in your dungeons.;;;;Ejecuta a todos en las mazmorras.;;;;;;;;;x
#### EVENTS;;;;;;;;;;;;;;x
# Determine who pays ransom
emf_prisoner.0.desc;[Root.Host.GetTitledFirstName] offers to release me from prison if I pay a ransom.;;;;[Root.Host.GetTitledFirstName] ofreció liberarte si le pagas un rescate.;;;;;;;;;x
emf_prisoner.0.a;I will pay for my freedom.;;;;Pagaré por mi libertad.;;;;;;;;;x
emf_prisoner.0.b;I will not pay.;;;;No pienso hacerlo.;;;;;;;;;x
# Ask Liege for ransom
emf_prisoner.1.desc;I have received a ransom request for one of my courtiers. It is a good deal...;;;;Has recibido una solicitud de rescate por uno de tus cortesanos. Parece un buen trato...;;;;;;;;;x
emf_prisoner.1.a;I will pay to get them back.;;;;Pagaré para traerle de vuelta;;;;;;;;;x
emf_prisoner.1.b;I will not pay to get them back.;;;;No pienso hacerlo.;;;;;;;;;x
# Notification of ransom denial
emf_prisoner.2.desc;The ransom has been denied!;;;;Se ha denegado el rescato.;;;;;;;;;x
emf_prisoner.2.a;Well, let them rot...;;;;Bien, pues que se pudra...;;;;;;;;;x
# House Arrest event
emf_prisoner.20.desc_dungeon;[Root.Host.GetTitledFirstName] has decided to let me out of this filthy dungeon and put me under house arrest. I am even now being moved to a nice room in a tower.;;;;;;;;;;;;;x
emf_prisoner.20.desc_oubliette;[Root.Host.GetTitledFirstName] has decided I am to be let out of my hellish, stinking cell and instead put under house arrest. I think I shall need a bath first.;;;;;;;;;;;;;x
emf_prisoner.20.desc_kid;[Root.Host.GetTitledFirstName] is going to move me out of this cell! That's great! I've been very bored in my cell. It's dirty and there's nobody worth playing with.;;;;;;;;;;;;;x
emf_prisoner.20.desc_incapable;Light brightens your room and strange people fuss over you. [Root.Host.GetTitledFirstName] has decided to put you under house arrest, but you still struggle feebly against the people trying to move you.;;;;;;;;;;;;;x
emf_prisoner.20.a_adult;Praise [Root.Religion.GetRandomGodName]!;[Root.Religion.GetRandomGodName] soit loué !;Gelobt sei [Root.Religion.GetRandomGodName]!;;¡Alaba a [Root.Religion.GetRandomGodName]!;;;;;;;;;x
emf_prisoner.20.a_kid;Maybe there'll be toys?;;;;;;;;;;;;;x
emf_prisoner.20.a_incapable;*incomprehensible sounds*;;;;;;;;;;;;;x
# Oubliette event
emf_prisoner.21.desc_house;[Root.Host.GetTitledFirstName] has decided I should be taken from my comfortable room in the tower and down into the Oubliette! This will truly be the end of me.;;;;;;;;;;;;;x
emf_prisoner.21.desc_dungeon;[Root.Host.GetTitledFirstName] has decided I am be taken from my cell and down into the Oubliette! What could I have done to deserve this fate?;;;;;;;;;;;;;x
emf_prisoner.21.desc_kid_house;[Root.Host.GetTitledFirstName] wants to take me out of my nice room! [Root.Host.GetSubjectPronoun] sent men with swords and everything. I don't want to go.;;;;;;;;;;;;;x
emf_prisoner.21.desc_kid_dungeon;[Root.Host.GetTitledFirstName] is taking me to something called the oo-blay-ate. I don't know what that is, but I don't wanna go. I just made friends with a rat, and they won't let me take him with me.;;;;;;;;;;;;;x
emf_prisoner.21.desc_incapable;Some strange men come into your room and grab you. [Root.Host.GetTitledFirstName] is having you moved into the Oubliette, but you can't understand what they're doing. You go along with it anyway.;;;;;;;;;;;;;x
emf_prisoner.21.a_adult;[Root.Religion.GetRandomGodNameCap] have mercy...;[Root.Religion.GetRandomGodNameCap], ayez pitié de moi...;[Root.Religion.GetRandomGodNameCap], sei gnädig ...;;Que [Root.Religion.GetRandomGodNameCap] se apiade...;;;;;;;;;x
emf_prisoner.21.a_kid_house;Maybe they'll let me take my wooden pony.;;;;;;;;;;;;;x
emf_prisoner.21.a_kid_dungeon;No! Mister Wiggles!;;;;;;;;;;;;;x
emf_prisoner.21.a_incapable;*grumble quietly*;;;;;;;;;;;;;x
# Dungeon event
emf_prisoner.22.desc_house;[Root.Host.GetTitledFirstName] has decided I should be taken from my comfortable room in the tower and returned to a dungeon cell! Surely this is unnecessary?;;;;;;;;;;;;;x
emf_prisoner.22.desc_oubliette;[Root.Host.GetTitledFirstName] has decided I shall be allowed out of the cursed oubliette and put into a regular cell. It's not much of an improvement.;;;;;;;;;;;;;x
emf_prisoner.22.desc_kid_house;[Root.Host.GetTitledFirstName] wants to take me out of my nice room! [Root.Host.GetSubjectPronoun] sent men in armor and everything. But I don't want to go.;;;;;;;;;;;;;x
emf_prisoner.22.desc_kid_oubliette;[Root.Host.GetTitledFirstName] is taking me to a better place. That's what the men in the shiny armor tell me. Maybe it'll be a place with more light?;;;;;;;;;;;;;x
emf_prisoner.22.desc_incapable;Some armored men come into your room and grab you. [Root.Host.GetTitledFirstName] is having you moved into the dungeon, but you don't understand and struggle a little in their grip.;;;;;;;;;;;;;x
emf_prisoner.22.a_house;[Root.Religion.GetRandomGodNameCap] preserve me!;;;;;;;;;;;;;x
emf_prisoner.22.a_oubliette;Thank [Root.Religion.GetRandomGodName] for small mercies.;;;;;;;;;;;;;x
emf_prisoner.22.a_kid_house;Maybe they're releasing me?;;;;;;;;;;;;;x
emf_prisoner.22.a_kid_oubliette;It's so dark in here.;;;;;;;;;;;;;x
emf_prisoner.22.a_incapable;*gurgling noises*;;;;;;;;;;;;;x
# Liege requests prisoner transfer
emf_prisoner.30.desc;My liege, [FromFrom.GetTitledFirstName], is requesting that I transfer one of my prisoners to [FromFrom.GetPossPronoun] dungeons. Because [FromFrom.GetSubjectPronoun] and [From.GetTitledName] are at war with each other, [FromFrom.GetPossPronoun] claim is probably just.;;;;;;;;;;;;;x
emf_prisoner.30.a;It shall be done.;;;;;;;;;;;;;x
emf_prisoner.30.b;I think I will keep my prisoner.;;;;;;;;;;;;;x
# Notify liege of refusal
emf_prisoner.31.desc;[From.GetTitledName] refuses to hand over the prisoner as I commanded.;;;;;;;;;;;;;x
emf_prisoner.31.a;Curse [From.GetPossPronoun] obstinate nature.;;;;;;;;;;;;;x
#### OPINION MODIFIERS;;;;;;;;;;;;;;x
opinion_refused_prisoner_transfer;Refused Prisoner Transfer;;;;;;;;;;;;;x
#### TOOLTIPS;;;;;;;;;;;;;;x
### Targeted decisions
emf_prisoner_house_arrest_tt;§Y[Root.GetTitledFirstName]§! will be treated better, but security will also be more relaxed.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_adult;§Y[Root.GetTitledFirstName]'s§! health will greatly suffer, and [Root.GetSubjectPronoun] will be very unlikely to escape.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_kid;§Y[Root.GetTitledFirstName]'s§! health will greatly suffer, and [Root.GetSubjectPronoun] will be very unlikely to escape. Because [Root.GetSubjectPronoun] is a child, this will be seen as cruel.\n\n;;;;;;;;;;;;;x
emf_prisoner_oubliette_tt_jain_ahimsa;Because this act violates the Jain doctrine of Ahimsa, or non-violence, you will lose §R30.00§! [From.Religion.GetPietyName].\n\n;;;;;;;;;;;;;x
emf_prisoner_dungeon_tt_worse;§Y[Root.GetTitledFirstName]'s§! health will suffer, and [Root.GetSubjectPronoun] will be less likely to escape.\n\n;;;;;;;;;;;;;x
emf_prisoner_dungeon_tt_better;§Y[Root.GetTitledFirstName]§! will be treated slightly better and still be unlikely to escape.\n\n;;;;;;;;;;;;;x
emf_prisoner_castration_tt;§Y[Root.GetTitledFirstName]§! will be castrated and released from prison.;;;;;;;;;;;;;x
emf_prisoner_blinding_tt;§Y[Root.GetTitledFirstName]§! will be blinded and released from prison.;;;;;;;;;;;;;x
emf_prisoner_zun_judgement_tt;§Y[Root.GetTitledFirstName]§! will be taken into the desert.;;;;;;;;;;;;;x
emf_prisoner_transfer_tt;An order will be sent to §Y[Root.Host.GetTitledFirstName]§! for the transfer of the prisoner. §Y[Root.Host.GetTitledFirstName]§! may choose to disobey your command.\n\n;;;;;;;;;;;;;x
### Bulk actions
emf_prisoner_ransom_all_tt;Has prisoners who can be ransomed.\n;;;;;;;;;;;;;x
emf_prisoner_ransom_all_tt_timer;Has not recently sent ransom requests.;;;;;;;;;;;;;x
emf_prisoner_execute_tt;This will upset the people of each prisoner's home realm, lowering their opinion of you by §R-10§!.\n;;;;;;;;;;;;;x
emf_prisoner_execute_tt_same;§Y[This.GetTitledName]§! dies! You lose §R10.00§! [Root.Religion.GetPietyName].\n;;;;;;;;;;;;;x
emf_prisoner_execute_tt_infidel;§Y[This.GetTitledName]§! dies!\n;;;;;;;;;;;;;x
emf_prisoner_execute_tt_same_kin;§Y[This.GetTitledName]§! dies! You lose §R10.00§! [Root.Religion.GetPietyName] and gain '§YKinslayer§!'\n;;;;;;;;;;;;;x
emf_prisoner_execute_tt_infidel_kin;§Y[This.GetTitledName]§! dies! You gain '§YKinslayer§!'\n;;;;;;;;;;;;;x
### Events
emf_prisoner.0_tt;§Y[This.GetTitledFirstName]§! is asked to pay ransom.;;;;Al personaje se le ha pedido pagar el rescate.;;;;;;;;;x
emf_prisoner.30.a_tt;§Y[This.GetTitledFirstName]§! is released from your dungeon and imprisoned by §Y[FromFrom.GetTitledFirstName]§!.;;;;;;;;;;;;;x
