#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#### DECISIONS ####
expel_the_arsiyah;Expel the Arsiyah;;;;Expulsar a los Arsiyah;;;;;;;;;x
emf_holy_order.8.desc;Most wise [Root.GetTitledFirstName], the Arsiyah needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;Al muy sabio [Root.GetTitledFirstName], los Arsiyah necesitan más castillos para poder entrenar tropas y generar ingresos. Ha llegado a mi atención que hay una ubicación adecuada en tu señorío, concretamente en el de [FromFrom.GetName] para ser exactos. Estoy dispuesto a pagar 100 de oro a cambio del derecho a construir una fortaleza allí.\nLa paz sea contigo,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
emf_holy_order.9.desc;The Arsiyah have constructed a castle in [Root.GetName]!;;;;¡Los Arsiyah han construido un castillo en [Root.GetName]!;;;;;;;;;x
### The Saqaliba
emf_holy_order.10.title;The Saqaliba;;;;Los Saqaliba;;;;;;;;;x
emf_holy_order.10.desc;A pious former slave has formed a group of his previous brethren into a military order dedicated to protecting [Root.Religion.GetName] people from infidels and other religious enemies. They have named their order the Saqaliba, a term applied to slaves taken from eastern Europe and a fitting title for a group consisting of the very same.;;;;Un antiguo esclavo piadoso ha formado una orden militar con sus correligionarios dedicada a proteger a los [Root.Religion.GetName] de los infieles y otros enemigos religiosos. Han llamado a su orden Saqaliba, un término que se aplica a los esclavos tomados de Europa del Este y un título apropiado para un grupo que consta de los mismos.;;;;;;;;;x
emf_holy_order.10.a;They could be useful...;Il pourraient s'avérer utiles...;Sie könnten nützlich sein..;;Podrían ser útiles...;;;;;;;;;x
emf_holy_order.10.b;Mystic Soldiers? Pah!;Des soldats mystiques ? Pouah !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
emf_holy_order.12.desc;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Saqaliba so [From.GetSheHe] may fight the infidel! This will forever disinherit [From.GetHerHim] and [From.GetSheHe] will never disgrace the dynasty with [From.GetHerHis] decadence.;;;;Mi [GetFromRelation], [From.GetTitledFirstName], ha solicitado unirse a los Saqaliba, ¡para poder combatir a los infieles! Esto [From.GetRleRla] desheredará para siempre y no deshonrará a la dinastía con su decadencia.;;;;;;;;;x
emf_holy_order.13.tt;[This.GetTitledFirstName] joins the Saqaliba.;;;;[This.GetTitledFirstName] se une a los Saqaliba.;;;;;;;;;x
emf_holy_order.18.desc;Most wise [Root.GetTitledFirstName], the Saqaliba needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPeace be upon you,\n\nGrand Master [From.GetFirstName];;;;Al muy sabio [Root.GetTitledFirstName], los Saqaliba necesitan más castillos para poder entrenar tropas y generar ingresos. Ha llegado a mi atención que hay una ubicación adecuada en tu señorío, concretamente en el de [FromFrom.GetName] para ser exactos. Estoy dispuesto a pagar 100 de oro a cambio del derecho a construir una fortaleza allí.\nLa paz sea contigo,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
emf_holy_order.19.desc;The Saqaliba have constructed a castle in [Root.GetName]!;;;;¡Los Saqaliba han construido un castillo en [Root.GetName]!;;;;;;;;;x
### Jomsvikings
emf_holy_order.20.desc;A band of fierce Vikings have established a warrior brotherhood. These Jomsvikings, as they call themselves, are devoted to Thor, Odin, and the other Norse gods. They brook no quarter on the battlefield and will permit only the strongest and ablest warriors amongst their number.\n\nThough there are those who would dismiss them as simple brigands, the Jomsvikings have vowed to defend all Norse lands being encroached by Christendom or other foreign religions.;;;;Una banda de feroces vikingos ha establecido una hermandad de guerreros. Estos Jomsvikings, como se llaman a sí mismos, están dedicados a Thor, Odin y los demás dioses nórdicos. No tienen cuartel en el campo de batalla y solo admitirán a los guerreros más fuertes y capaces entre ellos.\n\nAunque hay quienes los descartarían como simples bandidos, los Jomsvikings han jurado defender todas las tierras nórdicas que están siendo invadidas por la cristiandad u otros religiones extranjeras.;;;;;;;;;x
### General Muslim Holy Order Events
emf_holy_order.101.desc;Your Highness, I greet the news of your generous donation with gladness and much goodwill. You are truly a friend of our order and a stalwart defender of all that is righteous in this world. Surely your faith will be rewarded in both this life and also the next!\nMay Allah protect you,\n\nGrand Master [From.GetFirstName];;;;Alteza, saludo la noticia de su generosa donación con alegría y mucha buena voluntad. Eres verdaderamente un amigo de nuestra orden y un defensor incondicional de todo lo que es justo en este mundo. ¡Seguramente tu fe será recompensada tanto en esta vida como en la próxima!\nQue Alá te proteja,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
#### REGIONS ####
emf_region_livonia;Livonia;;;;;;;;;;;;;x
#### MODIFIERS ####
expelled_d_arsiyah;Expelled the Arsiyah;;;;Ha expulsado a los Arsiyah;;;;;;;;;x
expelled_d_saqaliba;Expelled the Saqaliba;;;;Ha expulsado a los Saqaliba;;;;;;;;;x
#### TITLES ####
d_arsiyah;Arsiyah;;;;;;;;;;;;;x
d_arsiyah_adj;Arsiyah;;;;;;;;;;;;;x
d_hashshashin;Hashshashin;;;;;;;;;;;;;x
d_hashshashin_adj;Hashshashin;;;;;;;;;;;;;x
d_livonian_brothers_of_the_sword;Schwertbrüderorden;;;;;;;;;;;;;x
d_livonian_brothers_of_the_sword_adj;Schwertbrüderische;;;;;;;;;;;;;x
d_saqaliba;Saqaliba;;;;;;;;;;;;;x
d_saqaliba_adj;Saqlabi;;;;;;;;;;;;;x
